"NAME","CHECK_STATE__C"
"Spain","false"
"Sri Lanka","false"
"St. Helena","false"
"Cote D'ivoire","false"
"Croatia","false"
"Cuba","false"
"Cyprus","false"
"Czech Republic","false"
"Guinea-bissau","false"
"Guyana","false"
"Italy","false"
"El Salvador","false"
"Equatorial Guinea","false"
"Eritrea","false"
"Mayotte","false"
"Estonia","false"
"Ethiopia","false"
"Falkland Islands (Malvinas)","false"
"Faroe Islands","false"
"Fiji","false"
"France, Metropolitan","false"
"French Guiana","false"
"French Polynesia","false"
"French Southern Territories","false"
"Gabon","false"
"Gambia","false"
"Lao People's Democratic Republ","false"
"Greece","false"
"Greenland","false"
"Grenada","false"
"Haiti","false"
"Heard and Mc Donald Islands","false"
"Holy See (Vatican City State)","false"
"Honduras","false"
"Hong Kong","false"
"Hungary","false"
"Malawi","false"
"Malaysia","false"
"Israel","false"
"Maldives","false"
"Mali","false"
"Finland","false"
"Jamaica","false"
"Japan","false"
"Jordan","false"
"St. Pierre and Miquelon","false"
"St. Vincent and Grenadines","false"
"Sudan","false"
"St. Kitts and Nevis","false"
"Suriname","false"
"Kazakhstan","false"
"Kenya","false"
"Guadeloupe","false"
"Guam","false"
"Gibraltar","false"
"Guatemala","false"
"Guinea","false"
"China","false"
"Georgia","false"
"Germany","false"
"Portugal","false"
"Solomon Islands","false"
"Somalia","false"
"Malta","false"
"Palau","false"
"Panama","false"
"Papua New Guinea","false"
"Paraguay","false"
"Peru","false"
"Philippines","false"
"Kiribati","false"
"Korea","false"
"Afghanistan","false"
"Albania","false"
"Algeria","false"
"American Samoa","false"
"Andorra","false"
"Puerto Rico","false"
"Palestinian Authority","false"
"Qatar","false"
"Reunion","false"
"Romania","false"
"Pitcairn","false"
"Poland","false"
"Denmark","false"
"Djibouti","false"
"Dominica","false"
"Dominican Republic","false"
"East Timor","false"
"Ecuador","false"
"Egypt","false"
"Marshall Islands","false"
"Korea, Democratic People's Rep","false"
"Kuwait","false"
"Kyrgyzstan","false"
"Ukraine","false"
"United Arab Emirates","false"
"United Kingdom","false"
"Uruguay","false"
"Uzbekistan","false"
"Vanuatu","false"
"Russia","false"
"Russian Federation","false"
"Rwanda","false"
"Saint Kitts and Nevis","false"
"Niue","false"
"Norfolk Island","false"
"Saint Lucia","false"
"Angola","false"
"Anguilla","false"
"Antarctica","false"
"Martinique","false"
"Mauritania","false"
"Mauritius","false"
"Namibia","false"
"Turkmenistan","false"
"Turks and Caicos Islands","false"
"Tuvalu","false"
"USA","true"
"Micronesia, Federated States o","false"
"Uganda","false"
"Mexico","false"
"Venezuela","false"
"Nauru","false"
"Nepal","false"
"Netherlands","false"
"Netherlands Antilles","false"
"New Caledonia","false"
"New Zealand","false"
"Nicaragua","false"
"Niger","false"
"Nigeria","false"
"Northern Mariana Islands","false"
"Antigua and Barbuda","false"
"Argentina","false"
"Armenia","false"
"Aruba","false"
"United States Minor Outlying I","false"
"Laos","false"
"Ivory Coast","false"
"St. Lucia","false"
"Norway","false"
"Oman","false"
"Pakistan","false"
"Saint Vincent and the Grenadin","false"
"Samoa","false"
"San Marino","false"
"Sao Tome and Principe","false"
"Saudi Arabia","false"
"Australia","false"
"Austria","false"
"Azerbaijan","false"
"Ascension Island","false"
"Bahamas","false"
"Moldova, Republic of","false"
"Senegal","false"
"Seychelles","false"
"Sierra Leone","false"
"Singapore","false"
"Slovakia (Slovak Republic)","false"
"Slovenia","false"
"Barbados","false"
"Belarus","false"
"Belgium","false"
"Belize","false"
"Bahrain","false"
"Bangladesh","false"
"Tajikistan","false"
"Tanzania, United Republic of","false"
"Thailand","false"
"Togo","false"
"Tokelau","false"
"Tonga","false"
"Tunisia","false"
"Turkey","false"
"Trinidad and Tobago","false"
"Monaco","false"
"Mongolia","false"
"Montserrat","false"
"Benin","false"
"Bermuda","false"
"Bhutan","false"
"Bolivia","false"
"Bosnia and Herzegovina","false"
"Botswana","false"
"Bouvet Island","false"
"Brazil","false"
"British Indian Ocean Territory","false"
"Brunei Darussalam","false"
"Christmas Island","false"
"Cocos (Keeling) Islands","false"
"Colombia","false"
"Comoros","false"
"Curacao","false"
"Congo","false"
"Congo, The Democratic Republic","false"
"Cook Islands","false"
"Costa Rica","false"
"South Africa","false"
"South Georgia and the South Sa","false"
"Morocco","false"
"Mozambique","false"
"Virgin Islands (British)","false"
"Virgin Islands (U.S.)","false"
"Wallis and Futuna Islands","false"
"Western Sahara","false"
"Yemen","false"
"Yugoslavia","false"
"Zambia","false"
"Zimbabwe","false"
"Bulgaria","false"
"Burkina Faso","false"
"Burundi","false"
"Cambodia","false"
"Cameroon","false"
"Canada","true"
"Serbia and Montenegro","false"
"Cape Verde","false"
"Cayman Islands","false"
"Central African Republic","false"
"Chad","false"
"Slovakia","false"
"Channel Islands","false"
"Iran","false"
"Congo, Democratic Republic of","false"
"Vietnam","false"
"Iceland","false"
"India","false"
"Indonesia","false"
"Iran (Islamic Republic of)","false"
"Iraq","false"
"Ireland","false"
"Chile","false"
"Ghana","false"
"Latvia","false"
"Lebanon","false"
"Lesotho","false"
"Liberia","false"
"France","false"
"Libyan Arab Jamahiriya","false"
"Liechtenstein","false"
"Lithuania","false"
"Luxembourg","false"
"Macau","false"
"Macedonia, The Former Yugoslav","false"
"Madagascar","false"
"Myanmar","false"
"Svalbard and Jan Mayen Islands","false"
"Swaziland","false"
"Sweden","false"
"Switzerland","false"
"Syrian Arab Republic","false"
"Taiwan","false"
