NAME,ASSOCIATED_COUNTRY__C
QC,Canada
TBD,USA
MO,USA
MS,USA
MT,USA
NC,USA
ND,USA
AZ,USA
CA,USA
CO,USA
CT,USA
DC,USA
DE,USA
FL,USA
NE,USA
NH,USA
NJ,USA
NM,USA
NV,USA
NY,USA
OH,USA
OK,USA
OR,USA
PA,USA
PR,USA
RI,USA
SC,USA
SD,USA
GA,USA
HI,USA
IA,USA
IL,USA
IN,USA
KS,USA
KY,USA
LA,USA
MA,USA
MD,USA
ME,USA
TN,USA
TX,USA
UT,USA
VA,USA
VT,USA
ID,USA
WA,USA
WI,USA
WV,USA
WY,USA
AB,Canada
BC,Canada
MB,Canada
NB,Canada
NF,Canada
NS,Canada
NT,Canada
ON,Canada
PE,Canada
PQ,Canada
SK,Canada
YK,Canada
AK,USA
AL,USA
AR,USA
MI,USA
MN,USA
NU,Canada
